GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Sichuan-Gas_CCGT_RC-12695,0.45,9.64548
Sichuan-Gas_CCGT_RC-12695,1.0,7.02
Sichuan-Gas_CCGT_RC-12705,0.45,9.64548
Sichuan-Gas_CCGT_RC-12705,1.0,7.02
Sichuan-Gas_CCGT_RC-12715,0.45,9.64548
Sichuan-Gas_CCGT_RC-12715,1.0,7.02
Sichuan-Gas_CCGT_RC-12725,0.45,9.64548
Sichuan-Gas_CCGT_RC-12725,1.0,7.02
Sichuan-Gas_Combustion_Turbine_RC-13090,0.4,11.03368
Sichuan-Gas_Combustion_Turbine_RC-13090,1.0,9.76
Zhejiang-Coal_1000_OT-12063,0.4,8.471
Zhejiang-Coal_1000_OT-12063,1.0,7.88
Zhejiang-Coal_1000_RC-12035,0.4,8.471
Zhejiang-Coal_1000_RC-12035,1.0,7.88
Zhejiang-Coal_1000_RC-12045,0.4,8.471
Zhejiang-Coal_1000_RC-12045,1.0,7.88
Zhejiang-Coal_1000_RC-12071,0.4,8.471
Zhejiang-Coal_1000_RC-12071,1.0,7.88
Zhejiang-Coal_1000_RC-12089,0.4,8.471
Zhejiang-Coal_1000_RC-12089,1.0,7.88
Zhejiang-Coal_1000_SEA-12055,0.4,8.471
Zhejiang-Coal_1000_SEA-12055,1.0,7.88
Zhejiang-Coal_1000_SEA-12081,0.4,8.471
Zhejiang-Coal_1000_SEA-12081,1.0,7.88
Zhejiang-Coal_1000_SEA-12099,0.4,8.471
Zhejiang-Coal_1000_SEA-12099,1.0,7.88
Zhejiang-Coal_300_OT-12067,0.4,9.589
Zhejiang-Coal_300_OT-12067,1.0,8.92
Zhejiang-Coal_300_RC-12039,0.4,9.589
Zhejiang-Coal_300_RC-12039,1.0,8.92
Zhejiang-Coal_300_RC-12049,0.4,9.589
Zhejiang-Coal_300_RC-12049,1.0,8.92
Zhejiang-Coal_300_RC-12075,0.4,9.589
Zhejiang-Coal_300_RC-12075,1.0,8.92
Zhejiang-Coal_300_RC-12093,0.4,9.589
Zhejiang-Coal_300_RC-12093,1.0,8.92
Zhejiang-Coal_300_SEA-12059,0.4,9.589
Zhejiang-Coal_300_SEA-12059,1.0,8.92
Zhejiang-Coal_300_SEA-12085,0.4,9.589
Zhejiang-Coal_300_SEA-12085,1.0,8.92
Zhejiang-Coal_300_SEA-12103,0.4,9.589
Zhejiang-Coal_300_SEA-12103,1.0,8.92
Zhejiang-Coal_600_OT-12065,0.4,9.08375
Zhejiang-Coal_600_OT-12065,1.0,8.45
Zhejiang-Coal_600_RC-12037,0.4,9.08375
Zhejiang-Coal_600_RC-12037,1.0,8.45
Zhejiang-Coal_600_RC-12047,0.4,9.08375
Zhejiang-Coal_600_RC-12047,1.0,8.45
Zhejiang-Coal_600_RC-12073,0.4,9.08375
Zhejiang-Coal_600_RC-12073,1.0,8.45
Zhejiang-Coal_600_RC-12091,0.4,9.08375
Zhejiang-Coal_600_RC-12091,1.0,8.45
Zhejiang-Coal_600_SEA-12057,0.4,9.08375
Zhejiang-Coal_600_SEA-12057,1.0,8.45
Zhejiang-Coal_600_SEA-12083,0.4,9.08375
Zhejiang-Coal_600_SEA-12083,1.0,8.45
Zhejiang-Coal_600_SEA-12101,0.4,9.08375
Zhejiang-Coal_600_SEA-12101,1.0,8.45
