GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Anhui-EP_Coal_600_RC-ep-1167,2015,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1176,2006,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1177,2006,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1178,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1179,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1180,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1181,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1182,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1183,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1184,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1185,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1186,2009,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1187,2008,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1188,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1189,2007,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1190,2008,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1191,2008,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1192,1990,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1193,1990,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1196,2008,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1197,2008,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1198,2008,572986,10514,.
Anhui-EP_Coal_600_RC-ep-3097,2017,572986,10514,.
Anhui-EP_Coal_600_RC-ep-3098,2017,572986,10514,.
Anhui-EP_Coal_600_RC-ep-3099,2018,572986,10514,.
Anhui-EP_Coal_600_RC-ep-3100,2018,572986,10514,.
Anhui-Hydro_NonPumped-ep-30001,1981,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30032,1982,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30063,1983,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30094,1984,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30125,1985,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30156,1986,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30187,1987,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30218,1988,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30249,1989,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30280,1990,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30311,1991,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30342,1992,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30373,1993,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30404,1994,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30435,1995,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30466,1996,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30497,1997,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30528,1998,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30605,2001,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30628,2002,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30651,2003,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30674,2004,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30722,2005,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30745,2006,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30768,2007,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30792,2008,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30812,2009,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30837,2010,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30866,2012,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30903,2015,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30915,2016,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30934,2013,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30947,2017,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30975,2014,1342278,3300,.
Anhui-Hydro_NonPumped-ep-30994,2011,1342278,3300,.
Anhui-Hydro_Pumped-ep-35020,2000,1098228,2700,0
Anhui-Hydro_Pumped-ep-35027,2007,1098228,2700,0
Anhui-Hydro_Pumped-ep-35039,2020,1098228,2700,0
Anhui-Hydro_Pumped-ep-35040,2020,1098228,2700,0
Anhui-Wind_EP-ep-40078,2012,1204800,12000,.
Anhui-Wind_EP-ep-40103,2013,1204800,12000,.
Anhui-Wind_EP-ep-40131,2014,1204800,12000,.
Anhui-Wind_EP-ep-40160,2015,1204800,12000,.
Anhui-Wind_EP-ep-40186,2016,1204800,12000,.
Anhui-Wind_EP-ep-40214,2017,1204800,12000,.
Anhui-Wind_EP-ep-40256,2011,1204800,12000,.
Fujian-Central_PV_EP-ep-50028,2013,1439448,28789,.
Fujian-Central_PV_EP-ep-50057,2014,1439448,28789,.
Fujian-Central_PV_EP-ep-50086,2015,1439448,28789,.
Fujian-Central_PV_EP-ep-50116,2016,1439448,28789,.
Fujian-Central_PV_EP-ep-50147,2017,1439448,28789,.
Fujian-Central_PV_EP-ep-50175,2011,1439448,28789,.
Fujian-Coal_100_RC-ep-1302,2006,805257,15486,.
Fujian-Coal_100_RC-ep-1303,2006,805257,15486,.
Fujian-Coal_100_RC-ep-1304,2006,805257,15486,.
Fujian-Coal_100_RC-ep-1305,2005,805257,15486,.
