GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-Commercial_PV-4,2040,Commercial_PV,Anhui,Solar,1.0397e-05,0,.,1.58843,0.155955
Anhui-Commercial_PV-4,2045,Commercial_PV,Anhui,Solar,9.98162e-06,0,.,1.52497,0.149724
Anhui-Commercial_PV-4,2050,Commercial_PV,Anhui,Solar,9.1524e-06,0,.,1.39829,0.137286
Anhui-Commercial_PV-4,2055,Commercial_PV,Anhui,Solar,1.17277e-05,0,.,1.79174,0.175916
Anhui-Commercial_PV-4,2060,Commercial_PV,Anhui,Solar,1.86892e-05,0,.,2.85531,0.280338
Anhui-Gas_CCGT_OT-12113,2020,Gas_CCGT_OT,Anhui,Gas,2.08038e-06,0,.,0.141099,0.0133144
Anhui-Gas_CCGT_OT-12113,2025,Gas_CCGT_OT,Anhui,Gas,3.22167e-06,0,.,0.218505,0.0206187
Anhui-Gas_CCGT_OT-12113,2030,Gas_CCGT_OT,Anhui,Gas,5.15918e-06,0,.,0.349913,0.0330188
Anhui-Gas_CCGT_OT-12113,2035,Gas_CCGT_OT,Anhui,Gas,18048.1,0,.,1.22408e+09,1.15508e+08
Anhui-Gas_CCGT_OT-12113,2040,Gas_CCGT_OT,Anhui,Gas,18048.1,0,.,1.22408e+09,1.15508e+08
Anhui-Gas_CCGT_OT-12113,2045,Gas_CCGT_OT,Anhui,Gas,18048.1,0,.,1.22408e+09,1.15508e+08
Anhui-Gas_CCGT_OT-12113,2050,Gas_CCGT_OT,Anhui,Gas,18048.1,0,.,1.22408e+09,1.15508e+08
Anhui-Gas_CCGT_OT-12113,2055,Gas_CCGT_OT,Anhui,Gas,5.68564e-05,0,.,3.85619,0.363881
Anhui-Gas_CCGT_OT-12113,2060,Gas_CCGT_OT,Anhui,Gas,8.72608e-05,0,.,5.91832,0.558469
Anhui-Gas_CCGT_RC-12123,2020,Gas_CCGT_RC,Anhui,Gas,1.71433e-06,0,.,0.116272,0.0109717
Anhui-Gas_CCGT_RC-12123,2025,Gas_CCGT_RC,Anhui,Gas,2.58023e-06,0,.,0.175,0.0165134
Anhui-Gas_CCGT_RC-12123,2030,Gas_CCGT_RC,Anhui,Gas,4.29264e-06,0,.,0.291141,0.0274729
Anhui-Gas_CCGT_RC-12123,2035,Gas_CCGT_RC,Anhui,Gas,9.40237e-06,0,.,0.637701,0.0601752
Anhui-Gas_CCGT_RC-12123,2040,Gas_CCGT_RC,Anhui,Gas,8.05046e-06,0,.,0.546009,0.0515229
Anhui-Gas_CCGT_RC-12123,2045,Gas_CCGT_RC,Anhui,Gas,1.03031e-05,0,.,0.698794,0.0659401
Anhui-Gas_CCGT_RC-12123,2050,Gas_CCGT_RC,Anhui,Gas,3.86013e-05,0,.,2.61807,0.247049
Anhui-Gas_CCGT_RC-12123,2055,Gas_CCGT_RC,Anhui,Gas,5.71346e-05,0,.,3.87506,0.365662
Anhui-Gas_CCGT_RC-12123,2060,Gas_CCGT_RC,Anhui,Gas,8.62931e-05,0,.,5.85269,0.552276
Anhui-Gas_CCGT_RC-12133,2020,Gas_CCGT_RC,Anhui,Gas,1.72757e-06,0,.,0.11717,0.0110564
Anhui-Gas_CCGT_RC-12133,2025,Gas_CCGT_RC,Anhui,Gas,2.59994e-06,0,.,0.176337,0.0166396
Anhui-Gas_CCGT_RC-12133,2030,Gas_CCGT_RC,Anhui,Gas,4.32937e-06,0,.,0.293632,0.0277079
Anhui-Gas_CCGT_RC-12133,2035,Gas_CCGT_RC,Anhui,Gas,9.39331e-06,0,.,0.637086,0.0601172
Anhui-Gas_CCGT_RC-12133,2040,Gas_CCGT_RC,Anhui,Gas,8.02389e-06,0,.,0.544207,0.0513529
Anhui-Gas_CCGT_RC-12133,2045,Gas_CCGT_RC,Anhui,Gas,1.02476e-05,0,.,0.695027,0.0655846
Anhui-Gas_CCGT_RC-12133,2050,Gas_CCGT_RC,Anhui,Gas,3.85103e-05,0,.,2.6119,0.246466
Anhui-Gas_CCGT_RC-12133,2055,Gas_CCGT_RC,Anhui,Gas,5.6997e-05,0,.,3.86573,0.364781
Anhui-Gas_CCGT_RC-12133,2060,Gas_CCGT_RC,Anhui,Gas,8.60865e-05,0,.,5.83868,0.550953
Anhui-Gas_Combustion_Turbine_RC-13107,2020,Gas_Combustion_Turbine_RC,Anhui,Gas,1.88792e-06,0,.,0.0931913,0.00879203
Anhui-Gas_Combustion_Turbine_RC-13107,2025,Gas_Combustion_Turbine_RC,Anhui,Gas,2.8449e-06,0,.,0.14043,0.0132487
Anhui-Gas_Combustion_Turbine_RC-13107,2030,Gas_Combustion_Turbine_RC,Anhui,Gas,4.19815e-06,0,.,0.207229,0.0195508
Anhui-Gas_Combustion_Turbine_RC-13107,2035,Gas_Combustion_Turbine_RC,Anhui,Gas,5.88978e-06,0,.,0.290731,0.0274287
Anhui-Gas_Combustion_Turbine_RC-13107,2040,Gas_Combustion_Turbine_RC,Anhui,Gas,8.37236e-06,0,.,0.413276,0.0389901
Anhui-Gas_Combustion_Turbine_RC-13107,2045,Gas_Combustion_Turbine_RC,Anhui,Gas,1.24201e-05,0,.,0.613082,0.0578406
Anhui-Gas_Combustion_Turbine_RC-13107,2050,Gas_Combustion_Turbine_RC,Anhui,Gas,0.00027936,0,.,13.7898,1.30098
Anhui-Gas_Combustion_Turbine_RC-13107,2055,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000421211,0,.,20.7918,1.96158
Anhui-Gas_Combustion_Turbine_RC-13107,2060,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000634463,0,.,31.3184,2.9547
Anhui-Nuclear_SMR-13106,2020,Nuclear_SMR,Anhui,Uranium,1380.63,0,.,4.67127e+08,4.97028e+07
Anhui-Nuclear_SMR-13106,2025,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2030,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2035,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2040,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2045,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2050,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2055,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2060,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Residential_PV-201,2020,Residential_PV,Anhui,Solar,4.68251e-07,0,.,0.114372,0.0112291
Anhui-Residential_PV-201,2025,Residential_PV,Anhui,Solar,6.49424e-07,0,.,0.158625,0.0155738
Anhui-Residential_PV-201,2030,Residential_PV,Anhui,Solar,1.17722e-06,0,.,0.282564,0.0277421
Anhui-Residential_PV-201,2035,Residential_PV,Anhui,Solar,3.63442e-06,0,.,0.845646,0.0830267
Anhui-Residential_PV-201,2040,Residential_PV,Anhui,Solar,3.2188e-06,0,.,0.743069,0.0729556
Anhui-Residential_PV-201,2045,Residential_PV,Anhui,Solar,3.39005e-06,0,.,0.775987,0.0761875
Anhui-Residential_PV-201,2050,Residential_PV,Anhui,Solar,5.19286e-06,0,.,1.15201,0.113106
